 --------------------------------------------------
  Mean Values for Each Plume Dispersion 
 -------------------------------------------------- 

  Plume ID = 1
  Cs-137                      | 0.0km ~0.1km  | 0.1km ~0.2km  | 0.2km ~0.3km  | 0.3km ~0.4km  | 0.4km ~0.6km  | 0.6km ~0.8km  | 0.8km ~1.0km  | 1.0km ~1.2km  | 1.2km ~1.4km  | 1.4km ~1.6km  | 1.6km ~1.8km  | 1.8km ~2.0km  | 2.0km ~2.2km  | 2.2km ~2.4km  | 2.4km ~2.6km  | 2.6km ~2.8km  | 2.8km ~3.0km  | 3.0km ~3.2km  | 3.2km ~3.4km  | 3.4km ~3.6km 
------------------------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+--------------
 Center Air Conc. (Bq-s/m3)   |  4.38939e-03     2.54983e-03     1.22660e-03     6.83893e-04     3.76325e-04     2.19342e-04     1.44518e-04     1.03043e-04     7.76167e-05     6.08673e-05     4.92231e-05     4.07823e-05     3.44556e-05     2.95825e-05     2.57426e-05     2.26583e-05     2.01400e-05     1.80543e-05     1.63053e-05     1.48226e-05     
 Ground Air Conc. (Bq-s/m3)   |  4.89930e-03     2.87285e-03     1.31417e-03     7.12156e-04     3.85082e-04     2.22369e-04     1.45849e-04     1.03727e-04     7.80088e-05     6.11105e-05     4.93834e-05     4.08931e-05     3.45353e-05     2.96416e-05     2.57877e-05     2.26934e-05     2.01679e-05     1.80768e-05     1.63238e-05     1.48379e-05     
 Center Ground Conc. (Bq/m2)  |  0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     
 Ground Dilution, X/Q (s/m3)  |  4.94879e-04     2.90187e-04     1.32744e-04     7.19349e-05     3.88972e-05     2.24615e-05     1.47323e-05     1.04775e-05     7.87968e-06     6.17278e-06     4.98823e-06     4.13062e-06     3.48842e-06     2.99410e-06     2.60482e-06     2.29227e-06     2.03716e-06     1.82594e-06     1.64887e-06     1.49878e-06     
 Local Source Inv., Q (Bq)    |  9.90000e+00     9.90000e+00     9.90000e+00     9.90000e+00     9.90000e+00     9.90000e+00     9.90000e+00     9.90000e+00     9.90000e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     9.89999e+00     
 Plume Sigma-y (m)            |  1.55245e+01     2.79265e+01     4.48470e+01     6.30934e+01     8.78170e+01     1.17330e+02     1.46309e+02     1.74777e+02     2.02754e+02     2.30259e+02     2.57309e+02     2.83922e+02     3.10114e+02     3.35899e+02     3.61293e+02     3.86309e+02     4.10960e+02     4.35257e+02     4.59214e+02     4.82840e+02     
 Plume Sigma-z (m)            |  1.76413e+01     1.62523e+01     2.46173e+01     3.35426e+01     4.54805e+01     5.95456e+01     7.31512e+01     8.63304e+01     9.91132e+01     1.11526e+02     1.23594e+02     1.35338e+02     1.46778e+02     1.57933e+02     1.68819e+02     1.79451e+02     1.89842e+02     2.00007e+02     2.09955e+02     2.19700e+02     
 Plume Height  (m)            |  1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     1.00000e+01     
 Plume Arrival Time (s)       |  1.25000e+01     5.25000e+01     1.07500e+02     1.67500e+02     2.50000e+02     3.50000e+02     4.50000e+02     5.50000e+02     6.50000e+02     7.50000e+02     8.50000e+02     9.50000e+02     1.05000e+03     1.15000e+03     1.25000e+03     1.35000e+03     1.45000e+03     1.55000e+03     1.65000e+03     1.75000e+03     
